sample v-GeO2 900K 			22-11-07   864.878K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   473.0000       34837.00       186.6467    
   474.0000       34892.00       186.7940    
   475.0000       35003.00       187.0909    
   476.0000       36281.00       190.4757    
   477.0000       35120.00       187.4033    
   478.0000       34667.00       186.1908    
   479.0000       36081.00       189.9500    
   480.0000       32575.00       180.4855    
   481.0000       35056.00       187.2325    
   482.0000       35266.00       187.7924    
   483.0000       35203.00       187.6246    
   484.0000       34372.00       185.3969    
   485.0000       34326.00       185.2728    
   486.0000       35303.00       187.8909    
   487.0000       35577.00       188.6187    
   488.0000       34361.00       185.3672    
   489.0000       37123.00       192.6733    
   490.0000       33819.00       183.8994    
   491.0000       33677.00       183.5129    
   492.0000       35472.00       188.3401    
   493.0000       34367.00       185.3834    
   494.0000       35064.00       187.2538    
   495.0000       34666.00       186.1881    
   496.0000       34878.00       186.7565    
   497.0000       35666.00       188.8544    
   498.0000       34399.00       185.4697    
   499.0000       34596.00       186.0000    
   500.0000       34089.00       184.6321    
   501.0000       34039.00       184.4966    
   502.0000       33859.00       184.0081    
   503.0000       33516.00       183.0738    
   504.0000       34540.00       185.8494    
   505.0000       35629.00       188.7565    
   506.0000       34855.00       186.6949    
   507.0000       36019.00       189.7867    
   508.0000       33997.00       184.3828    
   509.0000       36310.00       190.5518    
   510.0000       33195.00       182.1949    
   511.0000       34541.00       185.8521    
   512.0000       34787.00       186.5127    
   513.0000       33945.00       184.2417    
   514.0000       34846.00       186.6708    
   515.0000       34353.00       185.3456    
   516.0000       35366.00       188.0585    
   517.0000       35569.00       188.5975    
   518.0000       34636.00       186.1075    
   519.0000       35532.00       188.4993    
   520.0000       37357.00       193.2796    
   521.0000       33719.00       183.6273    
   522.0000       34406.00       185.4885    
   523.0000       34949.00       186.9465    
   524.0000       34408.00       185.4939    
   525.0000       34668.00       186.1935    
   526.0000       34744.00       186.3974    
   527.0000       35472.00       188.3401    
   528.0000       33741.00       183.6872    
   529.0000       36614.00       191.3479    
   530.0000       33961.00       184.2851    
   531.0000       34590.00       185.9839    
   532.0000       35199.00       187.6140    
   533.0000       34337.00       185.3025    
   534.0000       34212.00       184.9649    
   535.0000       34018.00       184.4397    
   536.0000       36818.00       191.8802    
   537.0000       35339.00       187.9867    
   538.0000       34195.00       184.9189    
   539.0000       34474.00       185.6718    
   540.0000       35416.00       188.1914    
   541.0000       33744.00       183.6954    
   542.0000       34478.00       185.6825    
   543.0000       35628.00       188.7538    
   544.0000       34911.00       186.8448    
   545.0000       35520.00       188.4675    
   546.0000       35473.00       188.3428    
   547.0000       36201.00       190.2656    
   548.0000       34927.00       186.8877    
   549.0000       37384.00       193.3494    
   550.0000       34147.00       184.7891    
   551.0000       35119.00       187.4006    
   552.0000       35903.00       189.4809    
   553.0000       34763.00       186.4484    
   554.0000       35634.00       188.7697    
   555.0000       34774.00       186.4779    
   556.0000       35701.00       188.9471    
   557.0000       35679.00       188.8889    
   558.0000       34416.00       185.5155    
   559.0000       32215.00       179.4854    
   560.0000       34190.00       184.9054    
   561.0000       34273.00       185.1297    
   562.0000       34512.00       185.7741    
   563.0000       34725.00       186.3465    
   564.0000       35054.00       187.2271    
   565.0000       35846.00       189.3304    
   566.0000       35626.00       188.7485    
   567.0000       35425.00       188.2153    
   568.0000       33438.00       182.8606    
   569.0000       36785.00       191.7942    
   570.0000       33166.00       182.1153    
   571.0000       33701.00       183.5783    
   572.0000       35964.00       189.6418    
   573.0000       34734.00       186.3706    
   574.0000       35228.00       187.6912    
   575.0000       33852.00       183.9891    
   576.0000       34442.00       185.5856    
   577.0000       34768.00       186.4618    
   578.0000       33050.00       181.7966    
   579.0000       28517.00       168.8698    
   580.0000       33589.00       183.2730    
   581.0000       34188.00       184.9000    
   582.0000       33976.00       184.3258    
   583.0000       34284.00       185.1594    
   584.0000       35009.00       187.1069    
   585.0000       34749.00       186.4108    
   586.0000       33186.00       182.1703    
   587.0000       34583.00       185.9651    
   588.0000       32924.00       181.4497    
   589.0000       35221.00       187.6726    
   590.0000       31734.00       178.1404    
   591.0000       31738.00       178.1516    
   592.0000       34105.00       184.6754    
   593.0000       31709.00       178.0702    
   594.0000       32061.00       179.0559    
   595.0000       33197.00       182.2004    
   596.0000       32958.00       181.5434    
   597.0000       30962.00       175.9602    
   598.0000       31180.00       176.5786    
   599.0000       30288.00       174.0345    
   600.0000       33086.00       181.8956    
   601.0000       31346.00       177.0480    
   602.0000       31630.00       177.8483    
   603.0000       32567.00       180.4633    
   604.0000       31912.00       178.6393    
   605.0000       32024.00       178.9525    
   606.0000       31081.00       176.2980    
   607.0000       32129.00       179.2456    
   608.0000       31401.00       177.2033    
   609.0000       32350.00       179.8611    
   610.0000       30143.00       173.6174    
   611.0000       30731.00       175.3026    
   612.0000       31295.00       176.9039    
   613.0000       29945.00       173.0462    
   614.0000       30159.00       173.6635    
   615.0000       30322.00       174.1321    
   616.0000       30249.00       173.9224    
   617.0000       30215.00       173.8246    
   618.0000       35100.00       187.3499    
   619.0000       36267.00       190.4390    
   620.0000       43123.00       207.6608    
   621.0000       35707.00       188.9630    
   622.0000       36599.00       191.3087    
   623.0000       37040.00       192.4578    
   624.0000       35634.00       188.7697    
   625.0000       36560.00       191.2067    
   626.0000       36505.00       191.0628    
   627.0000       36705.00       191.5855    
   628.0000       35117.00       187.3953    
   629.0000       37048.00       192.4786    
   630.0000       33983.00       184.3448    
   631.0000       34212.00       184.9649    
   632.0000       36184.00       190.2209    
   633.0000       34204.00       184.9432    
   634.0000       34487.00       185.7068    
   635.0000       34835.00       186.6414    
   636.0000       35145.00       187.4700    
   637.0000       35610.00       188.7061    
   638.0000       34861.00       186.7110    
   639.0000       34744.00       186.3974    
