sample v-GeO2 900K 			21-11-07  2000.000K
   486.0000       80587.00       283.8785    
   487.0000       81710.00       285.8496    
   488.0000       79709.00       282.3278    
   489.0000       85910.00       293.1041    
   490.0000       78006.00       279.2955    
   491.0000       78154.00       279.5604    
   492.0000       81998.00       286.3529    
   493.0000       79432.00       281.8368    
   494.0000       79912.00       282.6871    
   495.0000       79464.00       281.8936    
   496.0000       81200.00       284.9561    
   497.0000       82140.00       286.6008    
   498.0000       79320.00       281.6381    
   499.0000       79928.00       282.7154    
   500.0000       79162.00       281.3574    
   501.0000       78395.00       279.9911    
   502.0000       79451.00       281.8705    
   503.0000       78339.00       279.8911    
   504.0000       79815.00       282.5155    
   505.0000       82658.00       287.5031    
   506.0000       80992.00       284.5909    
   507.0000       82847.00       287.8315    
   508.0000       78360.00       279.9286    
   509.0000       83020.00       288.1319    
   510.0000       76868.00       277.2508    
   511.0000       79788.00       282.4677    
   512.0000       81206.00       284.9667    
   513.0000       77639.00       278.6378    
   514.0000       79978.00       282.8038    
   515.0000       79877.00       282.6252    
   516.0000       81292.00       285.1175    
   517.0000       82161.00       286.6374    
   518.0000       80142.00       283.0936    
   519.0000       81014.00       284.6296    
   520.0000       86578.00       294.2414    
   521.0000       78049.00       279.3725    
   522.0000       79644.00       282.2127    
   523.0000       80938.00       284.4960    
   524.0000       80509.00       283.7411    
   525.0000       80239.00       283.2649    
   526.0000       81256.00       285.0544    
   527.0000       83153.00       288.3626    
   528.0000       77894.00       279.0950    
   529.0000       84234.00       290.2310    
   530.0000       78868.00       280.8345    
   531.0000       80147.00       283.1024    
   532.0000       81626.00       285.7026    
   533.0000       79382.00       281.7481    
   534.0000       79086.00       281.2223    
   535.0000       79141.00       281.3201    
   536.0000       85036.00       291.6093    
   537.0000       82475.00       287.1846    
   538.0000       78810.00       280.7312    
   539.0000       79854.00       282.5845    
   540.0000       82020.00       286.3913    
   541.0000       79037.00       281.1352    
   542.0000       80127.00       283.0671    
   543.0000       82265.00       286.8188    
   544.0000       80924.00       284.4714    
   545.0000       81664.00       285.7691    
   546.0000       81634.00       285.7166    
   547.0000       84166.00       290.1138    
   548.0000       81180.00       284.9211    
   549.0000       86102.00       293.4314    
   550.0000       79371.00       281.7286    
   551.0000       80220.00       283.2314    
   552.0000       82344.00       286.9565    
   553.0000       80246.00       283.2773    
   554.0000       81551.00       285.5714    
   555.0000       80749.00       284.1637    
   556.0000       81763.00       285.9423    
   557.0000       83051.00       288.1857    
   558.0000       79222.00       281.4640    
   559.0000       74652.00       273.2252    
