sample v-GeO2 1200K x3                                       25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   520.0000       78465.00       280.1161    
   521.0000       70955.00       266.3738    
   522.0000       72054.00       268.4288    
   523.0000       73345.00       270.8228    
   524.0000       72781.00       269.7795    
   525.0000       72584.00       269.4142    
   526.0000       72963.00       270.1166    
   527.0000       75387.00       274.5669    
   528.0000       71059.00       266.5689    
   529.0000       77278.00       277.9892    
   530.0000       70922.00       266.3119    
   531.0000       72302.00       268.8903    
   532.0000       73895.00       271.8363    
   533.0000       72310.00       268.9052    
   534.0000       72370.00       269.0167    
   535.0000       71585.00       267.5537    
   536.0000       76567.00       276.7074    
   537.0000       74687.00       273.2892    
   538.0000       71568.00       267.5220    
   539.0000       71569.00       267.5238    
   540.0000       74239.00       272.4684    
   541.0000       71320.00       267.0580    
   542.0000       73057.00       270.2906    
   543.0000       74726.00       273.3606    
   544.0000       73745.00       271.5603    
   545.0000       74520.00       272.9835    
   546.0000       74166.00       272.3344    
   547.0000       76075.00       275.8170    
   548.0000       73237.00       270.6234    
   549.0000       78461.00       280.1089    
   550.0000       71370.00       267.1516    
   551.0000       73499.00       271.1070    
   552.0000       75642.00       275.0309    
   553.0000       73377.00       270.8819    
   554.0000       74286.00       272.5546    
   555.0000       73609.00       271.3098    
   556.0000       75127.00       274.0930    
   557.0000       75626.00       275.0018    
   558.0000       72072.00       268.4623    
   559.0000       65279.00       255.4976    
   560.0000       71846.00       268.0410    
   561.0000       72098.00       268.5107    
   562.0000       71583.00       267.5500    
   563.0000       72728.00       269.6813    
   564.0000       73998.00       272.0257    
   565.0000       75158.00       274.1496    
   566.0000       74619.00       273.1648    
   567.0000       74165.00       272.3325    
   568.0000       70926.00       266.3194    
   569.0000       76597.00       276.7616    
   570.0000       68722.00       262.1488    
   571.0000       70048.00       264.6658    
   572.0000       74519.00       272.9817    
   573.0000       72002.00       268.3319    
   574.0000       72878.00       269.9593    
   575.0000       71576.00       267.5369    
   576.0000       71960.00       268.2536    
   577.0000       72846.00       269.9000    
   578.0000       68782.00       262.2632    
   579.0000       56884.00       238.5037    
   580.0000       70518.00       265.5522    
   581.0000       71507.00       267.4079    
   582.0000       71832.00       268.0149    
   583.0000       72798.00       269.8110    
   584.0000       73421.00       270.9631    
   585.0000       72568.00       269.3845    
   586.0000       70699.00       265.8928    
   587.0000       73705.00       271.4866    
   588.0000       69519.00       263.6646    
   589.0000       74781.00       273.4612    
   590.0000       66864.00       258.5807    
   591.0000       66782.00       258.4221    
   592.0000       70513.00       265.5428    
   593.0000       65836.00       256.5853    
   594.0000       66867.00       258.5865    
   595.0000       69332.00       263.3097    
   596.0000       69311.00       263.2698    
   597.0000       65122.00       255.1901    
   598.0000       65430.00       255.7929    
   599.0000       62105.00       249.2087    
   600.0000       69551.00       263.7253    
   601.0000       65965.00       256.8365    
   602.0000       65819.00       256.5521    
   603.0000       67817.00       260.4170    
   604.0000       67162.00       259.1563    
   605.0000       66246.00       257.3830    
   606.0000       64717.00       254.3954    
   607.0000       66675.00       258.2150    
   608.0000       65567.00       256.0605    
   609.0000       67575.00       259.9519    
   610.0000       62717.00       250.4336    
