sample v-GeO2 1300K x3                                       25-11-07   500.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   574.0000       17981.00       134.0932    
   575.0000       17722.00       133.1240    
   576.0000       17519.00       132.3594    
   577.0000       18064.00       134.4024    
   578.0000       17027.00       130.4875    
   579.0000       14365.00       119.8541    
   580.0000       17322.00       131.6131    
   581.0000       17793.00       133.3904    
   582.0000       17551.00       132.4802    
   583.0000       18204.00       134.9222    
   584.0000       18212.00       134.9518    
   585.0000       18107.00       134.5623    
   586.0000       17479.00       132.2082    
   587.0000       17969.00       134.0485    
   588.0000       17025.00       130.4799    
   589.0000       18628.00       136.4844    
   590.0000       16678.00       129.1433    
   591.0000       16511.00       128.4951    
   592.0000       17595.00       132.6461    
   593.0000       16475.00       128.3550    
   594.0000       16754.00       129.4372    
   595.0000       17434.00       132.0379    
   596.0000       17100.00       130.7670    
   597.0000       15951.00       126.2973    
   598.0000       16247.00       127.4637    
   599.0000       15559.00       124.7357    
   600.0000       17476.00       132.1968    
   601.0000       16380.00       127.9844    
   602.0000       16247.00       127.4637    
   603.0000       16861.00       129.8499    
   604.0000       16807.00       129.6418    
   605.0000       16331.00       127.7928    
   606.0000       16143.00       127.0551    
   607.0000       16471.00       128.3394    
   608.0000       16257.00       127.5029    
   609.0000       17032.00       130.5067    
   610.0000       15662.00       125.1479    
   611.0000       16020.00       126.5701    
   612.0000       16197.00       127.2674    
   613.0000       15541.00       124.6635    
   614.0000       15490.00       124.4588    
   615.0000       15500.00       124.4990    
   616.0000       15637.00       125.0480    
   617.0000       16025.00       126.5899    
   618.0000       18384.00       135.5876    
   619.0000       18690.00       136.7114    
   620.0000       22382.00       149.6062    
   621.0000       18453.00       135.8418    
   622.0000       18881.00       137.4082    
   623.0000       19111.00       138.2425    
   624.0000       18392.00       135.6171    
   625.0000       19006.00       137.8622    
   626.0000       18728.00       136.8503    
   627.0000       19147.00       138.3727    
   628.0000       18432.00       135.7645    
   629.0000       19132.00       138.3185    
   630.0000       17536.00       132.4236    
   631.0000       17569.00       132.5481    
   632.0000       18600.00       136.3818    
   633.0000       17589.00       132.6235    
   634.0000       17766.00       133.2892    
   635.0000       17613.00       132.7140    
   636.0000       18096.00       134.5214    
   637.0000       18228.00       135.0111    
   638.0000       17847.00       133.5927    
   639.0000       17998.00       134.1566    
