Empty fournace                                               25-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   492.0000       6364.000       79.77468    
   493.0000       6011.000       77.53064    
   494.0000       6004.000       77.48548    
   495.0000       5997.000       77.44030    
   496.0000       6176.000       78.58753    
   497.0000       6214.000       78.82893    
   498.0000       5870.000       76.61593    
   499.0000       5916.000       76.91553    
   500.0000       5951.000       77.14272    
   501.0000       5991.000       77.40155    
   502.0000       5800.000       76.15773    
   503.0000       5781.000       76.03289    
   504.0000       5951.000       77.14272    
   505.0000       6293.000       79.32843    
   506.0000       6316.000       79.47327    
   507.0000       6232.000       78.94302    
   508.0000       5897.000       76.79192    
   509.0000       6288.000       79.29691    
   510.0000       5843.000       76.43952    
   511.0000       5949.000       77.12976    
   512.0000       6217.000       78.84795    
   513.0000       5872.000       76.62897    
   514.0000       5935.000       77.03895    
   515.0000       6045.000       77.74960    
   516.0000       6081.000       77.98077    
   517.0000       6169.000       78.54298    
   518.0000       6100.000       78.10249    
   519.0000       6136.000       78.33263    
   520.0000       6507.000       80.66598    
   521.0000       5874.000       76.64203    
   522.0000       6077.000       77.95512    
   523.0000       6121.000       78.23682    
   524.0000       6019.000       77.58221    
   525.0000       6016.000       77.56288    
   526.0000       6020.000       77.58866    
   527.0000       6207.000       78.78452    
   528.0000       5999.000       77.45321    
   529.0000       6346.000       79.66178    
   530.0000       5794.000       76.11833    
   531.0000       6133.000       78.31347    
   532.0000       5961.000       77.20751    
   533.0000       5878.000       76.66811    
   534.0000       6027.000       77.63376    
   535.0000       5886.000       76.72027    
   536.0000       6341.000       79.63039    
   537.0000       6266.000       79.15807    
   538.0000       5923.000       76.96103    
   539.0000       5868.000       76.60287    
   540.0000       5969.000       77.25930    
   541.0000       5877.000       76.66159    
   542.0000       5962.000       77.21399    
   543.0000       6209.000       78.79721    
   544.0000       5977.000       77.31106    
   545.0000       5924.000       76.96753    
   546.0000       6121.000       78.23682    
   547.0000       6116.000       78.20486    
   548.0000       5996.000       77.43385    
   549.0000       6349.000       79.68061    
   550.0000       5954.000       77.16217    
   551.0000       5875.000       76.64855    
   552.0000       6106.000       78.14090    
   553.0000       6044.000       77.74316    
   554.0000       5958.000       77.18808    
   555.0000       5930.000       77.00649    
   556.0000       6075.000       77.94228    
   557.0000       6011.000       77.53064    
   558.0000       5828.000       76.34134    
   559.0000       5181.000       71.97916    
   560.0000       5824.000       76.31514    
   561.0000       5902.000       76.82448    
   562.0000       5823.000       76.30859    
   563.0000       5836.000       76.39371    
   564.0000       5919.000       76.93504    
   565.0000       6102.000       78.11530    
   566.0000       6063.000       77.86526    
   567.0000       5993.000       77.41447    
   568.0000       5650.000       75.16648    
   569.0000       6160.000       78.48566    
   570.0000       5477.000       74.00676    
   571.0000       5677.000       75.34587    
   572.0000       6031.000       77.65952    
   573.0000       5799.000       76.15117    
   574.0000       5794.000       76.11833    
   575.0000       5817.000       76.26926    
   576.0000       5871.000       76.62245    
   577.0000       5885.000       76.71375    
   578.0000       5608.000       74.88658    
   579.0000       4562.000       67.54258    
   580.0000       5746.000       75.80238    
   581.0000       5716.000       75.60423    
   582.0000       5758.000       75.88148    
   583.0000       5936.000       77.04544    
   584.0000       6072.000       77.92304    
   585.0000       5906.000       76.85050    
   586.0000       5720.000       75.63068    
   587.0000       5993.000       77.41447    
   588.0000       5599.000       74.82647    
