sample v-GeO2 850K			21-11-07  2000.000K
   495.0000       79996.00       282.8356    
   496.0000       80312.00       283.3937    
   497.0000       82496.00       287.2212    
   498.0000       79374.00       281.7339    
   499.0000       79123.00       281.2881    
   500.0000       79095.00       281.2383    
   501.0000       77964.00       279.2203    
   502.0000       78379.00       279.9625    
   503.0000       78183.00       279.6122    
   504.0000       79954.00       282.7614    
   505.0000       81757.00       285.9318    
   506.0000       80883.00       284.3994    
   507.0000       83163.00       288.3799    
   508.0000       78278.00       279.7820    
   509.0000       83001.00       288.0989    
   510.0000       76398.00       276.4019    
   511.0000       80479.00       283.6882    
   512.0000       80671.00       284.0264    
   513.0000       78248.00       279.7285    
   514.0000       79836.00       282.5526    
   515.0000       79690.00       282.2942    
   516.0000       81145.00       284.8596    
   517.0000       81624.00       285.6991    
   518.0000       79502.00       281.9610    
   519.0000       81016.00       284.6331    
   520.0000       85991.00       293.2422    
   521.0000       77911.00       279.1254    
   522.0000       79797.00       282.4836    
   523.0000       81055.00       284.7016    
   524.0000       80525.00       283.7693    
   525.0000       80099.00       283.0177    
   526.0000       81257.00       285.0561    
   527.0000       82907.00       287.9358    
   528.0000       77908.00       279.1201    
   529.0000       84878.00       291.3383    
   530.0000       78505.00       280.1874    
   531.0000       79944.00       282.7437    
   532.0000       81569.00       285.6029    
   533.0000       79243.00       281.5013    
   534.0000       78786.00       280.6884    
   535.0000       77976.00       279.2418    
   536.0000       84215.00       290.1982    
   537.0000       82234.00       286.7647    
   538.0000       79129.00       281.2988    
   539.0000       79342.00       281.6771    
   540.0000       82162.00       286.6392    
   541.0000       78098.00       279.4602    
   542.0000       80331.00       283.4272    
   543.0000       81938.00       286.2481    
   544.0000       80795.00       284.2446    
   545.0000       81967.00       286.2988    
   546.0000       81771.00       285.9563    
   547.0000       83889.00       289.6360    
   548.0000       80857.00       284.3537    
   549.0000       85929.00       293.1365    
   550.0000       79620.00       282.1702    
   551.0000       80712.00       284.0986    
   552.0000       83049.00       288.1822    
   553.0000       80623.00       283.9419    
   554.0000       81640.00       285.7271    
   555.0000       80848.00       284.3378    
   556.0000       82054.00       286.4507    
   557.0000       83372.00       288.7421    
   558.0000       78943.00       280.9680    
   559.0000       73597.00       271.2877    
   560.0000       79304.00       281.6096    
   561.0000       79569.00       282.0798    
   562.0000       79363.00       281.7144    
   563.0000       80560.00       283.8309    
   564.0000       81954.00       286.2761    
   565.0000       82380.00       287.0192    
   566.0000       82869.00       287.8698    
   567.0000       82456.00       287.1515    
   568.0000       78042.00       279.3600    
   569.0000       84653.00       290.9519    
   570.0000       76517.00       276.6171    
   571.0000       77371.00       278.1564    
   572.0000       82552.00       287.3186    
   573.0000       79284.00       281.5742    
   574.0000       80458.00       283.6512    
   575.0000       78914.00       280.9164    
   576.0000       78488.00       280.1571    
   577.0000       80335.00       283.4343    
   578.0000       76766.00       277.0668    
   579.0000       65808.00       256.5307    
   580.0000       78179.00       279.6051    
   581.0000       77990.00       279.2669    
   582.0000       78359.00       279.9268    
   583.0000       80218.00       283.2278    
   584.0000       80204.00       283.2031    
   585.0000       79565.00       282.0727    
   586.0000       77393.00       278.1960    
   587.0000       80584.00       283.8732    
   588.0000       76493.00       276.5737    
   589.0000       82283.00       286.8501    
   590.0000       73527.00       271.1586    
   591.0000       73484.00       271.0793    
   592.0000       77843.00       279.0036    
   593.0000       72996.00       270.1777    
   594.0000       74115.00       272.2407    
   595.0000       76964.00       277.4239    
   596.0000       76063.00       275.7952    
   597.0000       71424.00       267.2527    
   598.0000       72515.00       269.2861    
   599.0000       70089.00       264.7433    
   600.0000       76755.00       277.0469    
   601.0000       72595.00       269.4346    
   602.0000       72990.00       270.1666    
   603.0000       75608.00       274.9691    
   604.0000       74747.00       273.3990    
   605.0000       73102.00       270.3738    
   606.0000       71376.00       267.1629    
   607.0000       73241.00       270.6307    
   608.0000       72555.00       269.3604    
   609.0000       74844.00       273.5763    
   610.0000       70004.00       264.5827    
   611.0000       71174.00       266.7845    
   612.0000       72240.00       268.7750    
   613.0000       70208.00       264.9679    
   614.0000       69422.00       263.4806    
   615.0000       69895.00       264.3766    
   616.0000       69698.00       264.0038    
   617.0000       71024.00       266.5033    
   618.0000       81315.00       285.1578    
   619.0000       84111.00       290.0190    
   620.0000       99188.00       314.9413    
   621.0000       82931.00       287.9774    
   622.0000       84362.00       290.4514    
   623.0000       85650.00       292.6602    
   624.0000       82727.00       287.6230    
   625.0000       84496.00       290.6819    
   626.0000       83193.00       288.4320    
   627.0000       84592.00       290.8470    
   628.0000       80959.00       284.5330    
   629.0000       85518.00       292.4346    
   630.0000       78537.00       280.2445    
   631.0000       79215.00       281.4516    
   632.0000       83636.00       289.1989    
   633.0000       79000.00       281.0694    
   634.0000       79463.00       281.8918    
   635.0000       79398.00       281.7765    
   636.0000       80779.00       284.2165    
   637.0000       81748.00       285.9161    
   638.0000       80158.00       283.1219    
   639.0000       80180.00       283.1607    
