sample v-GeO2 1000K                                          22-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   485.0000       79010.00       281.0872    
   486.0000       80375.00       283.5049    
   487.0000       82199.00       286.7037    
   488.0000       79101.00       281.2490    
   489.0000       86061.00       293.3615    
   490.0000       78126.00       279.5103    
   491.0000       78387.00       279.9768    
   492.0000       81430.00       285.3594    
   493.0000       78752.00       280.6279    
   494.0000       80836.00       284.3167    
   495.0000       79443.00       281.8564    
   496.0000       81265.00       285.0702    
   497.0000       82235.00       286.7664    
   498.0000       79368.00       281.7233    
   499.0000       79677.00       282.2711    
   500.0000       79582.00       282.1028    
   501.0000       78652.00       280.4496    
   502.0000       78703.00       280.5406    
   503.0000       77997.00       279.2794    
   504.0000       79630.00       282.1879    
   505.0000       81715.00       285.8584    
   506.0000       81473.00       285.4348    
   507.0000       82862.00       287.8576    
   508.0000       79348.00       281.6878    
   509.0000       84287.00       290.3222    
   510.0000       76419.00       276.4399    
   511.0000       79362.00       281.7126    
   512.0000       80744.00       284.1549    
   513.0000       77345.00       278.1097    
   514.0000       79785.00       282.4624    
   515.0000       79864.00       282.6022    
   516.0000       81584.00       285.6291    
   517.0000       82444.00       287.1306    
   518.0000       80265.00       283.3108    
   519.0000       81783.00       285.9773    
   520.0000       86296.00       293.7618    
   521.0000       77343.00       278.1061    
   522.0000       79702.00       282.3154    
   523.0000       81028.00       284.6542    
   524.0000       79731.00       282.3668    
   525.0000       79887.00       282.6429    
   526.0000       80881.00       284.3958    
   527.0000       82834.00       287.8090    
   528.0000       77561.00       278.4977    
   529.0000       84963.00       291.4841    
   530.0000       78135.00       279.5264    
   531.0000       79755.00       282.4093    
   532.0000       81010.00       284.6226    
   533.0000       79609.00       282.1507    
   534.0000       78831.00       280.7686    
   535.0000       78670.00       280.4817    
   536.0000       84308.00       290.3584    
   537.0000       82550.00       287.3152    
   538.0000       78711.00       280.5548    
   539.0000       79411.00       281.7996    
   540.0000       81984.00       286.3285    
   541.0000       79356.00       281.7020    
   542.0000       80421.00       283.5860    
   543.0000       82414.00       287.0784    
   544.0000       81064.00       284.7174    
   545.0000       82250.00       286.7926    
   546.0000       81667.00       285.7744    
   547.0000       83470.00       288.9117    
   548.0000       81073.00       284.7332    
   549.0000       85839.00       292.9829    
   550.0000       79683.00       282.2818    
   551.0000       80070.00       282.9664    
   552.0000       82726.00       287.6213    
   553.0000       80635.00       283.9630    
   554.0000       81789.00       285.9878    
   555.0000       81268.00       285.0754    
   556.0000       82034.00       286.4158    
   557.0000       82817.00       287.7794    
   558.0000       79075.00       281.2028    
   559.0000       73402.00       270.9280    
   560.0000       78763.00       280.6475    
   561.0000       79334.00       281.6629    
   562.0000       79248.00       281.5102    
   563.0000       80615.00       283.9278    
   564.0000       81208.00       284.9702    
   565.0000       82023.00       286.3966    
   566.0000       82270.00       286.8275    
   567.0000       81876.00       286.1398    
   568.0000       77605.00       278.5768    
   569.0000       84724.00       291.0739    
   570.0000       76428.00       276.4561    
   571.0000       77306.00       278.0396    
   572.0000       81963.00       286.2918    
   573.0000       79589.00       282.1152    
   574.0000       80360.00       283.4784    
   575.0000       78709.00       280.5512    
   576.0000       79049.00       281.1566    
   577.0000       79994.00       282.8321    
   578.0000       75909.00       275.5159    
   579.0000       65019.00       254.9882    
   580.0000       77860.00       279.0341    
   581.0000       77747.00       278.8315    
   582.0000       79065.00       281.1850    
   583.0000       80180.00       283.1607    
   584.0000       80359.00       283.4766    
   585.0000       79910.00       282.6836    
   586.0000       77595.00       278.5588    
   587.0000       80167.00       283.1378    
   588.0000       76102.00       275.8659    
   589.0000       82031.00       286.4106    
   590.0000       73773.00       271.6118    
   591.0000       73598.00       271.2895    
   592.0000       77420.00       278.2445    
   593.0000       71641.00       267.6584    
   594.0000       73935.00       271.9099    
   595.0000       76381.00       276.3711    
   596.0000       76634.00       276.8285    
   597.0000       71434.00       267.2714    
   598.0000       72297.00       268.8810    
   599.0000       69670.00       263.9507    
   600.0000       76612.00       276.7887    
   601.0000       72462.00       269.1877    
   602.0000       72415.00       269.1003    
   603.0000       75212.00       274.2481    
   604.0000       73552.00       271.2047    
   605.0000       72944.00       270.0815    
   606.0000       71488.00       267.3724    
   607.0000       73567.00       271.2324    
   608.0000       72310.00       268.9052    
   609.0000       74792.00       273.4813    
   610.0000       69344.00       263.3325    
   611.0000       71668.00       267.7088    
   612.0000       72214.00       268.7266    
   613.0000       69702.00       264.0114    
   614.0000       69366.00       263.3743    
   615.0000       69379.00       263.3989    
   616.0000       70143.00       264.8452    
   617.0000       70680.00       265.8571    
   618.0000       80562.00       283.8345    
   619.0000       82694.00       287.5656    
   620.0000       98923.00       314.5203    
   621.0000       81909.00       286.1975    
   622.0000       83551.00       289.0519    
   623.0000       85165.00       291.8304    
   624.0000       82448.00       287.1376    
   625.0000       84881.00       291.3434    
   626.0000       82513.00       287.2508    
   627.0000       84304.00       290.3515    
   628.0000       80028.00       282.8922    
   629.0000       85414.00       292.2567    
   630.0000       78209.00       279.6587    
   631.0000       78932.00       280.9484    
   632.0000       83389.00       288.7715    
   633.0000       78677.00       280.4942    
   634.0000       79081.00       281.2134    
   635.0000       79369.00       281.7250    
   636.0000       81189.00       284.9368    
   637.0000       81418.00       285.3384    
   638.0000       80240.00       283.2667    
   639.0000       80335.00       283.4343    
