New empty oven                                               26-11-07   200.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   426.0000       615.0000       24.79919    
   427.0000       646.0000       25.41653    
   428.0000       701.0000       26.47640    
   429.0000       673.0000       25.94224    
   430.0000       613.0000       24.75884    
   431.0000       604.0000       24.57641    
   432.0000       636.0000       25.21904    
   433.0000       580.0000       24.08319    
   434.0000       605.0000       24.59675    
   435.0000       622.0000       24.93993    
   436.0000       612.0000       24.73863    
   437.0000       615.0000       24.79919    
   438.0000       665.0000       25.78759    
   439.0000       555.0000       23.55844    
   440.0000       593.0000       24.35159    
   441.0000       596.0000       24.41311    
   442.0000       583.0000       24.14539    
   443.0000       587.0000       24.22808    
   444.0000       612.0000       24.73863    
   445.0000       616.0000       24.81935    
   446.0000       597.0000       24.43358    
   447.0000       603.0000       24.55606    
   448.0000       583.0000       24.14539    
   449.0000       667.0000       25.82634    
   450.0000       578.0000       24.04163    
   451.0000       597.0000       24.43358    
   452.0000       616.0000       24.81935    
   453.0000       605.0000       24.59675    
   454.0000       570.0000       23.87467    
   455.0000       603.0000       24.55606    
   456.0000       635.0000       25.19921    
   457.0000       589.0000       24.26932    
   458.0000       570.0000       23.87467    
   459.0000       604.0000       24.57641    
   460.0000       722.0000       26.87006    
   461.0000       587.0000       24.22808    
   462.0000       666.0000       25.80698    
   463.0000       645.0000       25.39685    
   464.0000       622.0000       24.93993    
   465.0000       661.0000       25.70992    
   466.0000       617.0000       24.83949    
   467.0000       636.0000       25.21904    
   468.0000       576.0000       24.00000    
   469.0000       666.0000       25.80698    
   470.0000       617.0000       24.83949    
   471.0000       631.0000       25.11971    
   472.0000       612.0000       24.73863    
   473.0000       611.0000       24.71841    
   474.0000       599.0000       24.47448    
   475.0000       593.0000       24.35159    
   476.0000       637.0000       25.23886    
   477.0000       572.0000       23.91652    
   478.0000       622.0000       24.93993    
   479.0000       656.0000       25.61250    
   480.0000       541.0000       23.25941    
   481.0000       613.0000       24.75884    
   482.0000       555.0000       23.55844    
   483.0000       576.0000       24.00000    
   484.0000       565.0000       23.76973    
   485.0000       637.0000       25.23886    
   486.0000       575.0000       23.97916    
   487.0000       587.0000       24.22808    
   488.0000       591.0000       24.31049    
   489.0000       637.0000       25.23886    
   490.0000       549.0000       23.43075    
   491.0000       555.0000       23.55844    
   492.0000       598.0000       24.45404    
   493.0000       533.0000       23.08679    
   494.0000       549.0000       23.43075    
   495.0000       596.0000       24.41311    
   496.0000       603.0000       24.55606    
   497.0000       623.0000       24.95997    
   498.0000       565.0000       23.76973    
   499.0000       622.0000       24.93993    
   500.0000       566.0000       23.79075    
   501.0000       593.0000       24.35159    
   502.0000       617.0000       24.83949    
   503.0000       574.0000       23.95830    
   504.0000       604.0000       24.57641    
   505.0000       602.0000       24.53569    
   506.0000       603.0000       24.55606    
   507.0000       596.0000       24.41311    
   508.0000       621.0000       24.91987    
   509.0000       636.0000       25.21904    
   510.0000       572.0000       23.91652    
   511.0000       584.0000       24.16609    
   512.0000       599.0000       24.47448    
   513.0000       575.0000       23.97916    
   514.0000       583.0000       24.14539    
   515.0000       574.0000       23.95830    
   516.0000       588.0000       24.24871    
