sample v-GeO2 1350K tst                                      24-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   582.0000       70319.00       265.1773    
   583.0000       71610.00       267.6004    
   584.0000       71906.00       268.1530    
   585.0000       71234.00       266.8970    
   586.0000       69257.00       263.1672    
   587.0000       71393.00       267.1947    
   588.0000       67905.00       260.5859    
   589.0000       73192.00       270.5402    
   590.0000       65861.00       256.6340    
   591.0000       65750.00       256.4176    
   592.0000       69309.00       263.2660    
   593.0000       65175.00       255.2939    
   594.0000       66067.00       257.0350    
   595.0000       68033.00       260.8314    
   596.0000       67633.00       260.0634    
   597.0000       63488.00       251.9682    
   598.0000       64653.00       254.2695    
   599.0000       60929.00       246.8380    
   600.0000       68331.00       261.4020    
   601.0000       63933.00       252.8498    
   602.0000       64316.00       253.6060    
   603.0000       66563.00       257.9980    
   604.0000       65796.00       256.5073    
   605.0000       65305.00       255.5484    
   606.0000       63373.00       251.7399    
   607.0000       65277.00       255.4936    
   608.0000       64709.00       254.3796    
   609.0000       66587.00       258.0446    
   610.0000       61240.00       247.4672    
   611.0000       63275.00       251.5452    
   612.0000       64076.00       253.1324    
   613.0000       62148.00       249.2950    
   614.0000       61745.00       248.4854    
   615.0000       61295.00       247.5783    
   616.0000       61659.00       248.3123    
   617.0000       62037.00       249.0723    
   618.0000       71533.00       267.4565    
   619.0000       73861.00       271.7738    
   620.0000       87644.00       296.0473    
   621.0000       73074.00       270.3220    
   622.0000       74227.00       272.4463    
   623.0000       75129.00       274.0967    
   624.0000       73203.00       270.5605    
   625.0000       75302.00       274.4121    
   626.0000       74034.00       272.0919    
   627.0000       74816.00       273.5251    
   628.0000       71816.00       267.9851    
   629.0000       76017.00       275.7118    
   630.0000       68652.00       262.0153    
   631.0000       69865.00       264.3199    
   632.0000       73658.00       271.4001    
   633.0000       70042.00       264.6545    
   634.0000       70048.00       264.6658    
   635.0000       69650.00       263.9129    
   636.0000       71142.00       266.7246    
   637.0000       72569.00       269.3864    
   638.0000       70399.00       265.3281    
   639.0000       70795.00       266.0733    
