Cd 11mm Room Temperature                                     29-11-07  1417.397K
   570.0000       3102.000       55.69560    
   571.0000       2775.000       52.67827    
   572.0000       2740.000       52.34501    
   573.0000       3012.000       54.88169    
   574.0000       2907.000       53.91660    
   575.0000       2865.000       53.52570    
   576.0000       2810.000       53.00943    
   577.0000       2940.000       54.22177    
   578.0000       2917.000       54.00926    
   579.0000       2659.000       51.56549    
   580.0000       2416.000       49.15282    
   581.0000       2768.000       52.61179    
   582.0000       2852.000       53.40412    
   583.0000       2812.000       53.02829    
   584.0000       2950.000       54.31390    
   585.0000       3064.000       55.35341    
   586.0000       2915.000       53.99074    
   587.0000       3002.000       54.79051    
   588.0000       2976.000       54.55273    
   589.0000       2767.000       52.60228    
   590.0000       3065.000       55.36244    
   591.0000       2729.000       52.23983    
   592.0000       2837.000       53.26350    
   593.0000       2802.000       52.93392    
   594.0000       2637.000       51.35173    
   595.0000       2767.000       52.60228    
   596.0000       2847.000       53.35728    
   597.0000       2938.000       54.20332    
   598.0000       2814.000       53.04715    
   599.0000       2711.000       52.06726    
   600.0000       2664.000       51.61395    
   601.0000       2842.000       53.31041    
   602.0000       2735.000       52.29723    
   603.0000       2818.000       53.08484    
   604.0000       2776.000       52.68776    
   605.0000       2691.000       51.87485    
   606.0000       2714.000       52.09607    
   607.0000       2714.000       52.09607    
   608.0000       2707.000       52.02884    
   609.0000       2704.000       52.00000    
   610.0000       2737.000       52.31635    
   611.0000       2546.000       50.45790    
   612.0000       2644.000       51.41984    
   613.0000       2651.000       51.48786    
   614.0000       2591.000       50.90187    
   615.0000       2583.000       50.82322    
   616.0000       2522.000       50.21952    
   617.0000       2595.000       50.94114    
   618.0000       2581.000       50.80354    
   619.0000       2851.000       53.39476    
   620.0000       2978.000       54.57106    
   621.0000       3439.000       58.64299    
   622.0000       2893.000       53.78662    
   623.0000       3096.000       55.64171    
   624.0000       3053.000       55.25396    
   625.0000       2966.000       54.46099    
   626.0000       3011.000       54.87258    
   627.0000       2987.000       54.65345    
   628.0000       3173.000       56.32939    
   629.0000       2848.000       53.36666    
   630.0000       2866.000       53.53503    
   631.0000       2446.000       49.45705    
   632.0000       2241.000       47.33920    
   633.0000       2248.000       47.41308    
   634.0000       2168.000       46.56179    
   635.0000       2121.000       46.05432    
   636.0000       2091.000       45.72746    
   637.0000       2211.000       47.02127    
   638.0000       2153.000       46.40043    
   639.0000       2230.000       47.22288    
   640.0000       2102.000       45.84757    
