empty can 300K                                               17-11-07  2000.000K
                                                                                
  XO,DX,Lambda :   0.0000000E+00   1.000000       0.0
   575.0000       43671.00       208.9761    
   576.0000       43721.00       209.0957    
   577.0000       44157.00       210.1357    
   578.0000       42351.00       205.7936    
   579.0000       37962.00       194.8384    
   580.0000       43272.00       208.0192    
   581.0000       42905.00       207.1352    
   582.0000       43652.00       208.9306    
   583.0000       43929.00       209.5925    
   584.0000       44546.00       211.0592    
   585.0000       43797.00       209.2773    
   586.0000       42826.00       206.9444    
   587.0000       43905.00       209.5352    
   588.0000       42001.00       204.9415    
   589.0000       44534.00       211.0308    
   590.0000       41052.00       202.6129    
   591.0000       40475.00       201.1840    
   592.0000       42440.00       206.0097    
   593.0000       39533.00       198.8291    
   594.0000       40270.00       200.6739    
   595.0000       41494.00       203.7008    
   596.0000       41896.00       204.6851    
   597.0000       39123.00       197.7953    
   598.0000       40169.00       200.4221    
   599.0000       38874.00       197.1649    
   600.0000       41607.00       203.9779    
   601.0000       39700.00       199.2486    
   602.0000       39677.00       199.1909    
   603.0000       40845.00       202.1015    
   604.0000       40135.00       200.3372    
   605.0000       39696.00       199.2386    
   606.0000       39075.00       197.6740    
   607.0000       40319.00       200.7959    
   608.0000       39884.00       199.7098    
   609.0000       40451.00       201.1243    
   610.0000       38257.00       195.5940    
   611.0000       39006.00       197.4994    
   612.0000       38989.00       197.4563    
   613.0000       37971.00       194.8615    
   614.0000       37726.00       194.2318    
   615.0000       37812.00       194.4531    
   616.0000       38107.00       195.2101    
   617.0000       38325.00       195.7677    
   618.0000       44003.00       209.7689    
   619.0000       44979.00       212.0825    
   620.0000       54133.00       232.6650    
   621.0000       44792.00       211.6412    
   622.0000       45598.00       213.5369    
   623.0000       45745.00       213.8808    
   624.0000       44726.00       211.4852    
   625.0000       45785.00       213.9743    
   626.0000       45023.00       212.1862    
   627.0000       45653.00       213.6656    
   628.0000       44118.00       210.0428    
   629.0000       46201.00       214.9442    
   630.0000       42707.00       206.6567    
   631.0000       42883.00       207.0821    
   632.0000       44869.00       211.8230    
   633.0000       42172.00       205.3582    
   634.0000       42772.00       206.8139    
   635.0000       42825.00       206.9420    
   636.0000       43594.00       208.7918    
   637.0000       43984.00       209.7236    
   638.0000       43417.00       208.3675    
   639.0000       42892.00       207.1038    
