Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
124153.034      116681     5795406  0.485E-01
124205.022      116830     5804079  0.484E-01
124217.028      117012     5815243  0.484E-01
124229.029      117207     5826911  0.484E-01
124241.028      117527     5836612  0.491E-01
124253.028      117814     5848435  0.488E-01
124305.026      118014     5858735  0.486E-01
124317.025      118201     5868685  0.486E-01
124329.029      118369     5879071  0.485E-01
124341.028      118586     5890677  0.484E-01
124353.029      118753     5900404  0.483E-01
124405.047      118987     5912276  0.482E-01
124417.026      119153     5923687  0.482E-01
124429.028      119348     5934469  0.481E-01
124441.022      119555     5945893  0.482E-01
124453.025      119740     5957720  0.481E-01
124505.029      119921     5969105  0.480E-01
124517.028      120085     5977836  0.480E-01
124529.021      120275     5988993  0.479E-01
124541.024      120478     6001115  0.478E-01
124553.022      120621     6010377  0.478E-01
124605.030      120800     6020895  0.478E-01
124617.029      120988     6031957  0.477E-01
124629.025      121196     6043264  0.477E-01
124641.040      121343     6052576  0.476E-01
124653.026      121551     6063821  0.475E-01
124705.028      121720     6074235  0.474E-01
124717.024      121870     6083522  0.474E-01
124729.029      122079     6095081  0.474E-01
124741.028      122253     6105773  0.473E-01
124753.028      122436     6116699  0.473E-01
124805.026      122620     6127413  0.472E-01
124817.024      122892     6138473  0.481E-01
124829.021      123173     6149616  0.477E-01
124841.021      123378     6160670  0.475E-01
124853.029      123583     6170962  0.474E-01
124905.025      123792     6181368  0.474E-01
124917.023      123964     6190920  0.472E-01
124929.022      124167     6202631  0.472E-01
124941.039      124344     6212871  0.471E-01
124953.020      124932     6221160  0.496E-01
125005.023      125255     6231849  0.488E-01
125017.060      125525     6242285  0.484E-01
125029.026      125736     6252963  0.482E-01
125041.026      125945     6263440  0.479E-01
125053.022      126142     6274419  0.478E-01
125105.028      126340     6284383  0.476E-01
125117.030      126551     6295413  0.474E-01
125129.029      126729     6305962  0.474E-01
125141.022      126942     6317125  0.472E-01
125153.021      127126     6327689  0.471E-01
125205.029      127296     6338058  0.470E-01
125217.029      127464     6347648  0.470E-01
125229.047      127622     6357829  0.469E-01
125241.028      127817     6368377  0.469E-01
125253.029      128008     6380097  0.469E-01
125305.028      128161     6389289  0.467E-01
125317.022      128337     6399927  0.467E-01
125329.022      128558     6410276  0.467E-01
125341.029      128750     6421771  0.466E-01
125353.025      128938     6432482  0.465E-01
125405.029      129104     6441576  0.464E-01
125417.026      129365     6452222  0.470E-01
125429.029      129643     6461998  0.470E-01
125441.023      129850     6471357  0.467E-01
125453.021      130070     6482936  0.466E-01
125505.029      130297     6494736  0.465E-01
125517.022      130501     6505257  0.465E-01
125529.029      130712     6515370  0.465E-01
125541.021      130958     6526372  0.464E-01
125553.028      131160     6537393  0.462E-01
125605.026      131378     6548349  0.462E-01
125617.021      131571     6558621  0.461E-01
125629.028      131771     6570213  0.461E-01
125641.028      132257     6581322  0.471E-01
125653.028      132516     6592350  0.467E-01
125705.018      132738     6603588  0.465E-01
125717.027      132934     6614263  0.464E-01
125729.029      133151     6625706  0.463E-01
125741.026      133331     6635053  0.462E-01
125753.029      133542     6646282  0.461E-01
125805.025      133754     6657319  0.460E-01
125817.022      133958     6668324  0.460E-01
125829.064      134152     6679931  0.459E-01
125841.028      134360     6690451  0.459E-01
125853.022      134565     6701010  0.459E-01
