 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   2.69100 ,     0.303936507237887E+01 ,    -0.438559946201793E+01 ,     0.538044416221083E+01 ,     0.300944152916069E+01 ,    -0.427328790680458E+01 ,     0.451118745450902E+01 , 
   2.71100 ,     0.470900573079367E+01 ,    -0.484717597446912E+01 ,     0.630001519974660E+01 ,     0.465831155459759E+01 ,    -0.529297347461914E+01 ,     0.566535477819335E+01 , 
   2.73100 ,     0.583693178533203E+01 ,    -0.536277961849205E+01 ,     0.709140100444447E+01 ,     0.577054787724349E+01 ,    -0.622415644604211E+01 ,     0.655906638391842E+01 , 
   2.75100 ,     0.635710531454579E+01 ,    -0.589321863411509E+01 ,     0.770349676107304E+01 ,     0.628122344014764E+01 ,    -0.702214556286448E+01 ,     0.713665274300007E+01 , 
   2.77100 ,     0.625457497012053E+01 ,    -0.638945426258754E+01 ,     0.809268015418184E+01 ,     0.617602407221492E+01 ,    -0.764771921284812E+01 ,     0.736406368682088E+01 , 
   2.79100 ,     0.556504389074496E+01 ,    -0.679836836398270E+01 ,     0.822670915209208E+01 ,     0.549076415805300E+01 ,    -0.806881891312523E+01 ,     0.723133210230205E+01 , 
   2.81100 ,     0.437028672832300E+01 ,    -0.706881844675987E+01 ,     0.808793761595399E+01 ,     0.430679309488493E+01 ,    -0.826195346674251E+01 ,     0.675322632147191E+01 , 
   2.83100 ,     0.278987182773708E+01 ,    -0.715735665476165E+01 ,     0.767555597242681E+01 ,     0.274275059522437E+01 ,    -0.821325757785141E+01 ,     0.596804471843946E+01 , 
   2.85100 ,     0.969950317778709E+00 ,    -0.703304033982250E+01 ,     0.700663290993378E+01 ,     0.943430909492736E+00 ,    -0.791915757615656E+01 ,     0.493465210252608E+01 , 
   2.87100 ,    -0.929888356414728E+00 ,    -0.668086777685130E+01 ,     0.611582335803127E+01 ,    -0.933249880750924E+00 ,    -0.738660798572744E+01 ,     0.372799506077546E+01 , 
   2.89100 ,    -0.275054498090072E+01 ,    -0.610352205336907E+01 ,     0.505371110500195E+01 ,    -0.273004275677595E+01 ,    -0.663287630276696E+01 ,     0.243345138536634E+01 , 
   2.91100 ,    -0.434692376044990E+01 ,    -0.532128388755031E+01 ,     0.388386320603972E+01 ,    -0.430372283968237E+01 ,    -0.568486961191631E+01 ,     0.114045770832912E+01 , 
   2.93100 ,    -0.559988416262194E+01 ,    -0.437016229753666E+01 ,     0.267877906861874E+01 ,    -0.553688187540685E+01 ,    -0.457801534898219E+01 ,    -0.640875338336611E-01 , 
   2.95100 ,    -0.642563676518363E+01 ,    -0.329847207972254E+01 ,     0.151501104942231E+01 ,    -0.634717533349314E+01 ,    -0.335472903309021E+01 ,    -0.110213568039789E+01 , 
   2.97100 ,    -0.678182367669431E+01 ,    -0.216224137388107E+01 ,     0.467807600060257E+00 ,    -0.669327797797503E+01 ,    -0.206252321313874E+01 ,    -0.191003156418638E+01 , 
   2.99100 ,    -0.666982207124143E+01 ,    -0.101994628848385E+01 ,    -0.394322061776845E+00 ,    -0.657709795801801E+01 ,    -0.751832963496841E+00 ,    -0.244287279955919E+01 , 
   3.01100 ,    -0.613314367879225E+01 ,     0.728682012219135E-01 ,    -0.101470561250255E+01 ,    -0.604213089459047E+01 ,     0.526347438519019E+00 ,    -0.267736635762432E+01 , 
   3.03100 ,    -0.525214434770100E+01 ,     0.106851682789120E+01 ,    -0.135286716414437E+01 ,    -0.516817297849698E+01 ,     0.172290607836551E+01 ,    -0.261298661061919E+01 , 
   3.05100 ,    -0.413557633391093E+01 ,     0.193114010707630E+01 ,    -0.138779623441947E+01 ,    -0.406292634584522E+01 ,     0.279301157261692E+01 ,    -0.227137552685188E+01 , 
   3.07100 ,    -0.290978429624646E+01 ,     0.263930007067248E+01 ,    -0.111985079050723E+01 ,    -0.285129385721765E+01 ,     0.369834134040733E+01 ,    -0.169406505445794E+01 , 
   3.09100 ,    -0.170654122737152E+01 ,     0.318694326375475E+01 ,    -0.571119573559034E+00 ,    -0.166335141708629E+01 ,     0.440901581865268E+01 ,    -0.938732666727622E+00 , 
   3.11100 ,    -0.650626437015171E+00 ,     0.358264080941332E+01 ,     0.215814713011086E+00 ,    -0.622088235934793E+00 ,     0.490512453303745E+01 ,    -0.743130980715077E-01 , 
   3.13100 ,     0.151744118095509E+00 ,     0.384719711282689E+01 ,     0.118064664778860E+01 ,     0.167989037626977E+00 ,     0.517774772144569E+01 ,     0.824626305646219E+00 , 
   3.15100 ,     0.622614133526113E+00 ,     0.400989195901695E+01 ,     0.224946896731415E+01 ,     0.630383072005294E+00 ,     0.522940209293564E+01 ,     0.168378887634378E+01 , 
   3.17100 ,     0.719266805630304E+00 ,     0.410376799445861E+01 ,     0.333995087560989E+01 ,     0.723436206751936E+00 ,     0.507387009433141E+01 ,     0.243486009829457E+01 , 
   3.19100 ,     0.437895316566031E+00 ,     0.416048197152022E+01 ,     0.436719568227045E+01 ,     0.443885850813068E+00 ,     0.473540702006782E+01 ,     0.302058213991897E+01 , 
   3.21100 ,    -0.186329189559721E+00 ,     0.420529268871368E+01 ,     0.524984241922559E+01 ,    -0.173136650001377E+00 ,     0.424735728989991E+01 ,     0.339880698181334E+01 , 
   3.23100 ,    -0.108276268237730E+01 ,     0.425275528136140E+01 ,     0.591595244700496E+01 ,    -0.105762657159148E+01 ,     0.365024781166487E+01 ,     0.354523414716208E+01 , 
   3.25100 ,    -0.215202000669254E+01 ,     0.430363000665174E+01 ,     0.630823431007972E+01 ,    -0.211139651236854E+01 ,     0.298946002575639E+01 ,     0.345465141651304E+01 , 
   3.27100 ,    -0.327530352717441E+01 ,     0.434339919945013E+01 ,     0.638820763998499E+01 ,    -0.321730964169456E+01 ,     0.231261057514860E+01 ,     0.314062163696593E+01 , 
   3.29100 ,    -0.432547349303354E+01 ,     0.434262913920494E+01 ,     0.613898627310088E+01 ,    -0.425020760297564E+01 ,     0.166679142893863E+01 ,     0.263368540762043E+01 , 
   3.31100 ,    -0.517885697255338E+01 ,     0.425922890559360E+01 ,     0.556646587514677E+01 ,    -0.508854172513253E+01 ,     0.109583203950983E+01 ,     0.197826765000777E+01 , 
   3.33100 ,    -0.572673394146711E+01 ,     0.404246353596984E+01 ,     0.469882403514026E+01 ,    -0.562566150577649E+01 ,     0.637747667339442E+00 ,     0.122857634270918E+01 , 
   3.35100 ,    -0.588547493692981E+01 ,     0.363839278539716E+01 ,     0.358437130950826E+01 ,    -0.577975242177056E+01 ,     0.322528996133184E+00 ,     0.443856150747452E+00 , 
   3.37100 ,    -0.560443069227571E+01 ,     0.299624783051252E+01 ,     0.228791965870611E+01 ,    -0.550154183818512E+01 ,     0.170408959885237E+00 ,    -0.316597278370770E+00 , 
   3.39100 ,    -0.487087855151876E+01 ,     0.207514235216720E+01 ,     0.885949862007655E+00 ,    -0.477909522373194E+01 ,     0.190714417107265E+00 ,    -0.998247843605466E+00 , 
   3.41100 ,    -0.371159465388542E+01 ,     0.850453734246731E+00 ,    -0.539047457773202E+00 ,    -0.363928650999018E+01 ,     0.381374699280720E+00 ,    -0.155556540896644E+01 , 
   3.43100 ,    -0.219092121193159E+01 ,    -0.680788260069355E+00 ,    -0.190461914775618E+01 ,    -0.214582277942814E+01 ,     0.729118431923164E+00 ,    -0.195537622308970E+01 , 
   3.45100 ,    -0.405508039959158E+00 ,    -0.249610269435785E+01 ,    -0.313431848201836E+01 ,    -0.394008218076225E+00 ,     0.121034705416685E+01 ,    -0.217906858067555E+01 , 
   3.47100 ,     0.152380043685131E+01 ,    -0.454582162010115E+01 ,    -0.416313754151873E+01 ,     0.149728140178225E+01 ,     0.179263100686183E+01 ,    -0.222350672619434E+01 , 
   3.49100 ,     0.346221263178684E+01 ,    -0.675371724375454E+01 ,    -0.494198971043263E+01 ,     0.339569951342051E+01 ,     0.243673545878130E+01 ,    -0.210061753231153E+01 , 
   3.51100 ,     0.527246754830019E+01 ,    -0.902008540875734E+01 ,    -0.544090668891078E+01 ,     0.516671205534410E+01 ,     0.309904930939187E+01 ,    -0.183572629105432E+01 , 
