Time       moves_acc moves_gen     G(r)_1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01
015608.958    20023922   261801897  0.176E-01
015620.958    20071614   262412834  0.176E-01
015632.958    20119185   263024057  0.176E-01
015644.958    20166393   263633940  0.176E-01
015656.959    20213982   264244140  0.206E-01
015708.958    20261691   264853913  0.176E-01
015720.958    20308819   265460398  0.176E-01
015732.958    20356092   266071838  0.176E-01
015744.958    20403037   266681502  0.176E-01
015756.958    20450316   267292123  0.176E-01
015808.958    20497317   267904122  0.176E-01
015820.958    20544497   268512488  0.176E-01
015832.958    20591885   269125156  0.176E-01
015844.958    20639155   269737706  0.176E-01
015856.958    20686495   270347929  0.176E-01
015908.958    20733622   270956261  0.176E-01
015920.958    20781179   271570514  0.176E-01
015932.958    20828438   272178771  0.176E-01
015944.958    20875905   272790412  0.176E-01
015956.958    20923558   273403694  0.176E-01
020008.958    20970950   274014947  0.176E-01
020020.958    21017991   274628088  0.175E-01
020032.958    21064749   275236552  0.175E-01
020044.958    21112378   275846675  0.176E-01
020056.958    21159993   276457831  0.175E-01
020108.958    21207405   277069435  0.176E-01
020120.958    21254723   277681490  0.175E-01
020132.958    21302344   278291205  0.176E-01
020144.958    21349733   278898948  0.176E-01
020156.958    21397213   279511114  0.175E-01
020208.958    21444827   280122400  0.176E-01
020220.958    21491796   280731085  0.175E-01
020232.958    21538614   281340356  0.176E-01
020244.958    21585543   281950418  0.176E-01
020256.958    21632810   282559432  0.176E-01
020308.958    21680265   283171480  0.175E-01
020320.964    21727543   283778224  0.175E-01
020332.958    21774444   284387807  0.176E-01
020344.958    21821729   284995388  0.176E-01
020356.958    21872049   285640539  0.176E-01
020408.958    21929992   286381929  0.176E-01
020420.958    21986786   287122491  0.176E-01
020432.958    22043987   287860112  0.176E-01
020444.958    22101337   288599839  0.176E-01
020456.958    22158575   289336859  0.176E-01
020508.958    22215619   290075570  0.176E-01
020520.958    22272575   290814256  0.175E-01
020532.958    22330075   291553329  0.176E-01
020544.958    22387274   292294414  0.176E-01
020556.958    22444563   293032115  0.176E-01
020608.958    22501804   293769196  0.176E-01
020620.958    22548119   294373504  0.176E-01
020632.958    22595101   294976886  0.177E-01
020644.958    22642107   295580405  0.175E-01
020656.958    22688698   296180233  0.175E-01
020708.958    22735451   296781286  0.176E-01
020720.958    22782166   297384063  0.175E-01
020732.958    22828791   297983790  0.176E-01
020744.958    22875411   298583935  0.176E-01
020756.958    22922286   299186606  0.176E-01
020808.958    22969059   299787140  0.176E-01
020820.958    23015395   300388259  0.175E-01
020832.958    23062002   300990500  0.176E-01
020844.958    23108547   301591824  0.176E-01
020856.958    23154939   302192655  0.176E-01
020908.958    23201472   302795109  0.176E-01
020920.958    23247997   303396913  0.176E-01
020932.958    23294684   303995934  0.176E-01
020944.959    23341268   304598765  0.184E-01
020956.958    23388180   305200386  0.176E-01
021008.958    23434608   305804659  0.176E-01
021020.958    23481142   306407298  0.176E-01
021032.958    23527811   307009569  0.176E-01
021044.959    23574219   307611367  0.248E-01
021056.958    23620530   308212514  0.176E-01
021108.958    23667148   308817613  0.176E-01
021120.958    23714137   309419653  0.176E-01
